x,y,theta,v,omega
0,0,0,0,0
0.0733689509386369,-0.144782446685196,0.000241064658569321,0.00126593655370246,0
0.186433507853903,-0.363325069019791,0.00321094629092767,0.0143317063305934,0
0.311847550366123,-0.593952334194328,0.0123299815817846,0.0412913435437308,0
0.429399563934282,-0.798995420623474,0.0262618205161528,0.0745270369336013,0
0.528954745604527,-0.965186044775627,0.0405961423828029,0.105704719657948,0
0.606456184637517,-1.09333479613974,0.0503154502424779,0.128616795352042,0
0.666060593359135,-1.18959549711561,0.0525081730583457,0.141527909645669,0
0.707077710158569,-1.26132800675149,0.0464733439867807,0.144674819831605,0
0.733806859698171,-1.31466249964457,0.0340683018774249,0.140730067362183,0
0.752516948935633,-1.35431579681857,0.0159527530704732,0.131253068203275,0
0.762505124779419,-1.38384934482845,-0.00458810634967938,0.119170687302459,0
0.767708281560699,-1.40575568729223,-0.0259807230829356,0.105931031140905,0
0.769406585604654,-1.42190102876831,-0.0468175733162221,0.0926939754002754,0
0.768981176963694,-1.43370635281413,-0.0663916704855371,0.0800530096105052,0
0.767162209206885,-1.44224340068163,-0.0841963724778037,0.068425572886626,0
0.764698759098614,-1.44836047518941,-0.100205914715237,0.0578861353574178,0
0.758628434305125,-1.45218472090247,-0.109647897260804,0.0516190023907771,0
0.757964958382446,-1.45537652120706,-0.119736351712381,0.0445441219743371,0
0.756063352267914,-1.4575372007192,-0.129309230221927,0.0377510876759215,0
0.754132834460827,-1.45904007382881,-0.138441694206881,0.0313073063206812,0
0.75195553556404,-1.46001584387302,-0.146614573004219,0.0256224273595359,0
0.75089139445122,-1.46083630501208,-0.15656668867256,0.0190975657358117,0
0.748058509530323,-1.46107642545882,-0.163509519996269,0.0146932146984022,0
0.745994167820951,-1.46121759103075,-0.168642133126271,0.011469379733444,0
0.744408107891034,-1.46128595544375,-0.172563339568821,0.00899899689687509,0
0.743155608931252,-1.46130624497141,-0.175622090360825,0.00705504926824857,0
0.742147397051988,-1.46129615415019,-0.178029675274621,0.00550941132719995,0
0.741332264354443,-1.46126934509249,-0.179934283155727,0.00427540919134122,0
0.740672594132395,-1.4612347280968,-0.181444154417487,0.00329028156727629,0
0.7401340388285,-1.4611968658526,-0.182624931410583,0.00251569491425971,0
0.739704413740184,-1.46116115124323,-0.183550198790564,0.00190625321625577,0
0.739360401786736,-1.46112859706955,-0.184270223413622,0.00143080690359748,0
0.739087112703427,-1.46110017662558,-0.184827230587638,0.00106252538393392,0
0.738871425285411,-1.46107607880475,-0.18525579487464,0.00077912302906499,0
0.738701442594476,-1.46105593812967,-0.185580905545062,0.000564180615028242,0
0.738570658269987,-1.46103986030557,-0.185831534611902,0.000398910952885246,0
0.738466698424601,-1.4610264531943,-0.186015432327576,0.00027789272023428,0
0.738387210388216,-1.46101594444186,-0.186146992227071,0.000191111851715913,0
0.738328655912487,-1.46100814996084,-0.186246182622678,0.000125645475022788,0
0.738283037528108,-1.46100190413042,-0.186315321644665,7.99579267885343e-05,0
0.738249602354597,-1.46099731179197,-0.186364910842777,4.7128855289659e-05,0
0.73822460097088,-1.46099384318387,-0.186399368854261,2.43132128716358e-05,0
0.738206171770579,-1.46099127522592,-0.186423252455393,8.5522422227908e-06,0
0.738192809050914,-1.46098941656089,-0.186438240559769,-1.33505504468877e-06,0
0.73818320467471,-1.46098808760473,-0.186447688469802,-7.56239347087761e-06,0
0.738176513131016,-1.46098717755567,-0.1864529353493,-1.1013976258648e-05,0
0.738171930613657,-1.46098657020056,-0.18645534763946,-1.26002153438734e-05,0
0.73816889052055,-1.46098618439387,-0.18645589086519,-1.29575080145423e-05,0
0.738166951484422,-1.46098595553718,-0.186455249968482,-1.25355194230341e-05,0
0.738165781406261,-1.46098583470301,-0.186453892334255,-1.16414641921754e-05,0
0.738165180720366,-1.46098579425237,-0.186452177510514,-1.05117638192133e-05,0
0.738164937728338,-1.46098580155015,-0.186450319958158,-9.28717391082509e-06,0
0.738164928191897,-1.46098583862219,-0.186448454383202,-8.05707011159959e-06,0
0.738165081010906,-1.46098589597554,-0.186446689891345,-6.89348250418426e-06,0
0.738165317478475,-1.46098596140215,-0.186445076874528,-5.82928148392593e-06,0
